,sent_file,token,lemma,from,to,semtag,output
5056,pmb-4.0.0/data/en/gold/p36/d2284/en.drs.xml,"['The', 'wall', 'is', 'thirty', 'yards', 'long', '.']","['the', 'wall', 'be', '30', 'yard', 'long', '.']","[0, 4, 9, 12, 19, 25, 29]","[3, 8, 11, 18, 24, 29, 30]","['DEF', 'CON', 'NOW', 'QUC', 'UOM', 'DEG', 'NIL']","['DEF: ', 'The', '; ', 'CON: ', 'wall', '; ', 'NOW: ', 'is', '; ', 'QUC: ', 'thirty', '; ', 'UOM: ', 'yards', '; ', 'DEG: ', 'long', '; ', 'NIL: ', '.']"
7284,pmb-4.0.0/data/en/gold/p60/d2940/en.drs.xml,"['The', 'clerk', 'labeled', 'the', 'baggage', '.']","['the', 'clerk', 'label', 'the', 'baggage', '.']","[0, 4, 10, 18, 22, 29]","[3, 9, 17, 21, 29, 30]","['DEF', 'ROL', 'EPS', 'DEF', 'CON', 'NIL']","['DEF: ', 'The', '; ', 'ROL: ', 'clerk', '; ', 'EPS: ', 'labeled', '; ', 'DEF: ', 'the', '; ', 'CON: ', 'baggage', '; ', 'NIL: ', '.']"
2168,pmb-4.0.0/data/en/gold/p10/d2626/en.drs.xml,"['Yesterday', 'I', 'was', 'ill', '.']","['day', 'speaker', 'be', 'ill', '.']","[0, 10, 12, 16, 19]","[9, 11, 15, 19, 20]","['PST', 'PRO', 'PST', 'IST', 'NIL']","['PST: ', 'Yesterday', '; ', 'PRO: ', 'I', '; ', 'PST: ', 'was', '; ', 'IST: ', 'ill', '; ', 'NIL: ', '.']"
7734,pmb-4.0.0/data/en/gold/p66/d1538/en.drs.xml,"['His', 'doom', 'is', 'sealed', '.']","['male', 'doom', 'be', 'seal', '.']","[0, 4, 9, 12, 18]","[3, 8, 11, 18, 19]","['HAS', 'CON', 'NOW', 'EXS', 'NIL']","['HAS: ', 'His', '; ', 'CON: ', 'doom', '; ', 'NOW: ', 'is', '; ', 'EXS: ', 'sealed', '; ', 'NIL: ', '.']"
2586,pmb-4.0.0/data/en/gold/p13/d2121/en.drs.xml,"['I', 'did', 'not', 'take', 'ø', 'many', 'photos', '.']","['speaker', 'do', 'not', 'take', 'ø', '+', 'photo', '.']","[0, 2, 6, 10, 15, 15, 20, 26]","[1, 5, 9, 14, -1, 19, 26, 27]","['PRO', 'PST', 'NOT', 'EXS', 'DIS', 'QUV', 'CON', 'NIL']","['PRO: ', 'I', '; ', 'PST: ', 'did', '; ', 'NOT: ', 'not', '; ', 'EXS: ', 'take', '; ', 'DIS: ', 'ø', '; ', 'QUV: ', 'many', '; ', 'CON: ', 'photos', '; ', 'NIL: ', '.']"
2516,pmb-4.0.0/data/en/gold/p13/d0050/en.drs.xml,"['The', 'woman', 'is', 'not', 'stirring', 'ø', 'meat', 'in', 'a', 'bowl']","['the', 'woman', 'be', 'not', 'stir', 'ø', 'meat', 'in', 'a', 'bowl']","[0, 4, 10, 13, 17, 26, 26, 31, 34, 36]","[3, 9, 12, 16, 25, -1, 30, 33, 35, 40]","['DEF', 'CON', 'NOW', 'NOT', 'EXG', 'DIS', 'CON', 'REL', 'DIS', 'CON']","['DEF: ', 'The', '; ', 'CON: ', 'woman', '; ', 'NOW: ', 'is', '; ', 'NOT: ', 'not', '; ', 'EXG: ', 'stirring', '; ', 'DIS: ', 'ø', '; ', 'CON: ', 'meat', '; ', 'REL: ', 'in', '; ', 'DIS: ', 'a', '; ', 'CON: ', 'bowl']"
9832,pmb-4.0.0/data/en/gold/p90/d2851/en.drs.xml,"['ø', 'Tom', 'keeps', 'a', 'black', 'cat', '.']","['ø', 'tom', 'keep', 'a', 'black', 'cat', '.']","[0, 0, 4, 10, 12, 18, 21]","[-1, 3, 9, 11, 17, 21, 22]","['DEF', 'PER', 'ENS', 'DIS', 'COL', 'CON', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'ENS: ', 'keeps', '; ', 'DIS: ', 'a', '; ', 'COL: ', 'black', '; ', 'CON: ', 'cat', '; ', 'NIL: ', '.']"
7260,pmb-4.0.0/data/en/gold/p60/d2460/en.drs.xml,"['Who', 'did', 'you', 'hear', 'that', 'rumor', 'from', '?']","['person', 'do', 'hearer', 'hear', 'entity', 'rumor', 'from', '?']","[0, 4, 8, 12, 17, 22, 28, 32]","[3, 7, 11, 16, 21, 27, 32, 33]","['QUE', 'PST', 'PRO', 'EXS', 'DST', 'CON', 'REL', 'QUE']","['QUE: ', 'Who', '; ', 'PST: ', 'did', '; ', 'PRO: ', 'you', '; ', 'EXS: ', 'hear', '; ', 'DST: ', 'that', '; ', 'CON: ', 'rumor', '; ', 'REL: ', 'from', '; ', 'QUE: ', '?']"
1714,pmb-4.0.0/data/en/gold/p07/d3550/en.drs.xml,"['I', 'married', 'ø', 'Tom', '.']","['speaker', 'marry', 'ø', 'tom', '.']","[0, 2, 10, 10, 13]","[1, 9, -1, 13, 14]","['PRO', 'EPS', 'DEF', 'PER', 'NIL']","['PRO: ', 'I', '; ', 'EPS: ', 'married', '; ', 'DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'NIL: ', '.']"
8957,pmb-4.0.0/data/en/gold/p80/d2668/en.drs.xml,"['I', ""'m"", 'convinced', 'ø', 'Tom', 'is', 'lying', '.']","['speaker', 'be', 'convinced', 'ø', 'tom', 'be', 'lie', '.']","[0, 1, 4, 14, 14, 18, 21, 26]","[1, 3, 13, -1, 17, 20, 26, 27]","['PRO', 'NOW', 'IST', 'DEF', 'PER', 'NOW', 'EXG', 'NIL']","['PRO: ', 'I', '; ', 'NOW: ', ""'m"", '; ', 'IST: ', 'convinced', '; ', 'DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'NOW: ', 'is', '; ', 'EXG: ', 'lying', '; ', 'NIL: ', '.']"
10476,pmb-4.0.0/data/en/gold/p97/d3343/en.drs.xml,"['ø', 'Tom', 'is', ""n't"", 'young', 'anymore', '.']","['ø', 'tom', 'be', 'not', 'young', 'anymore', '.']","[0, 0, 4, 6, 10, 16, 23]","[-1, 3, 6, 9, 15, 23, 24]","['DEF', 'PER', 'NOW', 'NOT', 'IST', 'ALT', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'NOW: ', 'is', '; ', 'NOT: ', ""n't"", '; ', 'IST: ', 'young', '; ', 'ALT: ', 'anymore', '; ', 'NIL: ', '.']"
7095,pmb-4.0.0/data/en/gold/p59/d1633/en.drs.xml,"['ø', 'Tom', 'took', 'ø', 'three', 'sleeping~pills', '.']","['ø', 'tom', 'take', 'ø', '3', 'sleeping~pill', '.']","[0, 0, 4, 9, 9, 15, 29]","[-1, 3, 8, -1, 14, 29, 30]","['DEF', 'PER', 'EPS', 'DIS', 'QUC', 'CON', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'EPS: ', 'took', '; ', 'DEF: ', 'ø', '; ', 'QUC: ', 'three', '; ', 'CON: ', 'sleeping~pills', '; ', 'NIL: ', '.']"
3296,pmb-4.0.0/data/en/gold/p19/d3036/en.drs.xml,"['ø', 'Tom', 'killed', 'himself', 'ø', 'three', 'months', 'ago', '.']","['ø', 'tom', 'kill', 'male', 'ø', '3', 'month', 'ago', '.']","[0, 0, 4, 11, 19, 19, 25, 32, 35]","[-1, 3, 10, 18, -1, 24, 31, 35, 36]","['DEF', 'PER', 'EPS', 'REF', 'DIS', 'QUC', 'UOM', 'PST', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'EPS: ', 'killed', '; ', 'REF: ', 'himself', '; ', 'DEF: ', 'ø', '; ', 'QUC: ', 'three', '; ', 'UOM: ', 'months', '; ', 'PST: ', 'ago', '; ', 'NIL: ', '.']"
5347,pmb-4.0.0/data/en/gold/p39/d3430/en.drs.xml,"['There', 'is', 'a', 'cat', 'on', 'the', 'chair', '.']","['there', 'be', 'a', 'cat', 'on', 'the', 'chair', '.']","[0, 6, 9, 11, 15, 18, 22, 27]","[5, 8, 10, 14, 17, 21, 27, 28]","['NIL', 'ENS', 'DIS', 'CON', 'REL', 'DEF', 'CON', 'NIL']","['NIL: ', 'There', '; ', 'ENS: ', 'is', '; ', 'DIS: ', 'a', '; ', 'CON: ', 'cat', '; ', 'REL: ', 'on', '; ', 'DEF: ', 'the', '; ', 'CON: ', 'chair', '; ', 'NIL: ', '.']"
1042,pmb-4.0.0/data/en/gold/p04/d0888/en.drs.xml,"['Tomorrow', 'I', ""'m"", 'going', 'to', 'ø', 'Paris', '.']","['day', 'speaker', 'be', 'go', 'to', 'ø', 'paris', '.']","[0, 9, 10, 13, 19, 22, 22, 27]","[8, 10, 12, 18, 21, -1, 27, 28]","['FUT', 'PRO', 'FUT', 'EXG', 'REL', 'DEF', 'GPE', 'NIL']","['FUT: ', 'Tomorrow', '; ', 'PRO: ', 'I', '; ', 'FUT: ', ""'m"", '; ', 'EXG: ', 'going', '; ', 'REL: ', 'to', '; ', 'DEF: ', 'ø', '; ', 'GPE: ', 'Paris', '; ', 'NIL: ', '.']"
10665,pmb-4.0.0/data/en/gold/p99/d2500/en.drs.xml,"['The', 'smoke~alarm', 'has', 'never', 'been', 'maintained', '.']","['the', 'smoke~alarm', 'have', 'time', 'be', 'maintain', '.']","[0, 4, 16, 20, 26, 31, 41]","[3, 15, 19, 25, 30, 41, 42]","['DEF', 'CON', 'NOW', 'NOT', 'PFT', 'EXS', 'NIL']","['DEF: ', 'The', '; ', 'CON: ', 'smoke~alarm', '; ', 'NOW: ', 'has', '; ', 'NOT: ', 'never', '; ', 'PFT: ', 'been', '; ', 'EXS: ', 'maintained', '; ', 'NIL: ', '.']"
6195,pmb-4.0.0/data/en/gold/p48/d3428/en.drs.xml,"['She', 'used', 'ø', 'margarine', 'instead', 'of', 'ø', 'butter', '.']","['female', 'use', 'ø', 'margarine', 'instead', 'of', 'ø', 'butter', '.']","[0, 4, 9, 9, 19, 27, 30, 30, 36]","[3, 8, -1, 18, 26, 29, -1, 36, 37]","['PRO', 'EPS', 'DIS', 'CON', 'NOT', 'REL', 'DIS', 'CON', 'NIL']","['PRO: ', 'She', '; ', 'EPS: ', 'used', '; ', 'DIS: ', 'ø', '; ', 'CON: ', 'margarine', '; ', 'NOT: ', 'instead', '; ', 'REL: ', 'of', '; ', 'DIS: ', 'ø', '; ', 'CON: ', 'butter', '; ', 'NIL: ', '.']"
7174,pmb-4.0.0/data/en/gold/p60/d0862/en.drs.xml,"['This', 'student', 'is', 'American', '.']","['this', 'student', 'be', 'america', '.']","[0, 5, 13, 16, 24]","[4, 12, 15, 24, 25]","['PRX', 'ROL', 'NOW', 'GPO', 'NIL']","['PRX: ', 'This', '; ', 'ROL: ', 'student', '; ', 'NOW: ', 'is', '; ', 'GPO: ', 'American', '; ', 'NIL: ', '.']"
10355,pmb-4.0.0/data/en/gold/p96/d2430/en.drs.xml,"['The', 'earthquake', 'triggered', 'a', 'powerful', 'tsunami', '.']","['the', 'earthquake', 'trigger', 'a', 'powerful', 'tsunami', '.']","[0, 4, 15, 25, 27, 36, 43]","[3, 14, 24, 26, 35, 43, 44]","['DEF', 'CON', 'EPS', 'DIS', 'IST', 'CON', 'NIL']","['DEF: ', 'The', '; ', 'CON: ', 'earthquake', '; ', 'EPS: ', 'triggered', '; ', 'DIS: ', 'a', '; ', 'IST: ', 'powerful', '; ', 'CON: ', 'tsunami', '; ', 'NIL: ', '.']"
1794,pmb-4.0.0/data/en/gold/p08/d2234/en.drs.xml,"['ø', 'Tom', 'stuck', 'a', 'handwritten', 'sign', 'on', 'the', 'door', '.']","['ø', 'tom', 'stick', 'a', 'handwrite', 'sign', 'on', 'the', 'door', '.']","[0, 0, 4, 10, 12, 24, 29, 32, 36, 40]","[-1, 3, 9, 11, 23, 28, 31, 35, 40, 41]","['DEF', 'PER', 'EPS', 'DIS', 'EXT', 'CON', 'REL', 'DEF', 'CON', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'EPS: ', 'stuck', '; ', 'DIS: ', 'a', '; ', 'EXT: ', 'handwritten', '; ', 'CON: ', 'sign', '; ', 'REL: ', 'on', '; ', 'DEF: ', 'the', '; ', 'CON: ', 'door', '; ', 'NIL: ', '.']"
9826,pmb-4.0.0/data/en/gold/p90/d2735/en.drs.xml,"['I', 'am', 'from', 'ø', 'Ecuador', '.']","['speaker', 'be', 'from', 'ø', 'ecuador', '.']","[0, 2, 5, 10, 10, 17]","[1, 4, 9, -1, 17, 18]","['PRO', 'ENS', 'REL', 'DEF', 'GPE', 'NIL']","['PRO: ', 'I', '; ', 'ENS: ', 'am', '; ', 'REL: ', 'from', '; ', 'DEF: ', 'ø', '; ', 'GPE: ', 'Ecuador', '; ', 'NIL: ', '.']"
7537,pmb-4.0.0/data/en/gold/p63/d2659/en.drs.xml,"['I', ""'ve"", 'been', 'writing', 'ø', 'letters', '.']","['speaker', 'have', 'be', 'write', 'ø', 'letter', '.']","[0, 1, 5, 10, 18, 18, 25]","[1, 4, 9, 17, -1, 25, 26]","['PRO', 'NOW', 'PFT', 'EXG', 'DIS', 'CON', 'NIL']","['PRO: ', 'I', '; ', 'NOW: ', ""'ve"", '; ', 'PFT: ', 'been', '; ', 'EXG: ', 'writing', '; ', 'DIS: ', 'ø', '; ', 'CON: ', 'letters', '; ', 'NIL: ', '.']"
5097,pmb-4.0.0/data/en/gold/p36/d3354/en.drs.xml,"['There', 'are', 'ø', 'few', 'passengers', 'on', 'this', 'train', '.']","['there', 'be', 'ø', '-', 'passenger', 'on', 'this', 'train', '.']","[0, 6, 10, 10, 14, 25, 28, 33, 38]","[5, 9, -1, 13, 24, 27, 32, 38, 39]","['NIL', 'ENS', 'DIS', 'QUV', 'ROL', 'REL', 'PRX', 'CON', 'NIL']","['NIL: ', 'There', '; ', 'ENS: ', 'are', '; ', 'DIS: ', 'ø', '; ', 'QUV: ', 'few', '; ', 'ROL: ', 'passengers', '; ', 'REL: ', 'on', '; ', 'PRX: ', 'this', '; ', 'CON: ', 'train', '; ', 'NIL: ', '.']"
8764,pmb-4.0.0/data/en/gold/p78/d3554/en.drs.xml,"['ø', 'Tom', 'is', 'dreaming', 'again', '.']","['ø', 'tom', 'be', 'dream', 'again', '.']","[0, 0, 4, 7, 16, 21]","[-1, 3, 6, 15, 21, 22]","['DEF', 'PER', 'NOW', 'EXG', 'ALT', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'NOW: ', 'is', '; ', 'EXG: ', 'dreaming', '; ', 'ALT: ', 'again', '; ', 'NIL: ', '.']"
2949,pmb-4.0.0/data/en/gold/p16/d2648/en.drs.xml,"['She', 'waved', 'ø', 'goodbye', 'to', 'him', '.']","['female', 'wave', 'ø', 'goodbye', 'to', 'male', '.']","[0, 4, 10, 10, 18, 21, 24]","[3, 9, -1, 17, 20, 24, 25]","['PRO', 'EPS', 'DIS', 'CON', 'REL', 'PRO', 'NIL']","['PRO: ', 'She', '; ', 'EPS: ', 'waved', '; ', 'DIS: ', 'ø', '; ', 'CON: ', 'goodbye', '; ', 'REL: ', 'to', '; ', 'PRO: ', 'him', '; ', 'NIL: ', '.']"
7917,pmb-4.0.0/data/en/gold/p68/d3327/en.drs.xml,"['The', 'cart', 'was', 'in', 'the', 'shed', '.']","['the', 'cart', 'be', 'in', 'the', 'shed', '.']","[0, 4, 9, 13, 16, 20, 24]","[3, 8, 12, 15, 19, 24, 25]","['DEF', 'CON', 'EPS', 'REL', 'DEF', 'CON', 'NIL']","['DEF: ', 'The', '; ', 'CON: ', 'cart', '; ', 'EPS: ', 'was', '; ', 'REL: ', 'in', '; ', 'DEF: ', 'the', '; ', 'CON: ', 'shed', '; ', 'NIL: ', '.']"
10204,pmb-4.0.0/data/en/gold/p94/d3255/en.drs.xml,"['ø', 'Tom', 'is', 'embarrassed', 'about', 'buying', 'ø', 'condoms', '.']","['ø', 'tom', 'be', 'embarrassed', 'about', 'buy', 'ø', 'condom', '.']","[0, 0, 4, 7, 19, 25, 32, 32, 39]","[-1, 3, 6, 18, 24, 31, -1, 39, 40]","['DEF', 'PER', 'NOW', 'IST', 'REL', 'EXG', 'DIS', 'CON', 'NIL']","['DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'NOW: ', 'is', '; ', 'IST: ', 'embarrassed', '; ', 'REL: ', 'about', '; ', 'EXG: ', 'buying', '; ', 'DEF: ', 'ø', '; ', 'CON: ', 'condoms', '; ', 'NIL: ', '.']"
8046,pmb-4.0.0/data/en/gold/p70/d1768/en.drs.xml,"['I', 'saw', 'it', 'on', 'ø', 'TV', '.']","['speaker', 'see', 'entity', 'on', 'ø', 'tv', '.']","[0, 2, 6, 9, 12, 12, 14]","[1, 5, 8, 11, -1, 14, 15]","['PRO', 'EPS', 'PRO', 'REL', 'DIS', 'CON', 'NIL']","['PRO: ', 'I', '; ', 'EPS: ', 'saw', '; ', 'PRO: ', 'it', '; ', 'REL: ', 'on', '; ', 'DIS: ', 'ø', '; ', 'CON: ', 'TV', '; ', 'NIL: ', '.']"
6310,pmb-4.0.0/data/en/gold/p50/d0958/en.drs.xml,"['He', 'has', 'a', 'hat', 'on', '.']","['male', 'have~on', 'a', 'hat', 'on', '.']","[0, 3, 7, 9, 13, 15]","[2, 6, 8, 12, 15, 16]","['PRO', 'ENS', 'DIS', 'CON', 'REL', 'NIL']","['PRO: ', 'He', '; ', 'ENS: ', 'has', '; ', 'DIS: ', 'a', '; ', 'CON: ', 'hat', '; ', 'REL: ', 'on', '; ', 'NIL: ', '.']"
5260,pmb-4.0.0/data/en/gold/p38/d3348/en.drs.xml,"['I', 'never', 'doubted', 'ø', 'Tom', '.']","['speaker', 'time', 'doubt', 'ø', 'tom', '.']","[0, 2, 8, 16, 16, 19]","[1, 7, 15, -1, 19, 20]","['PRO', 'NOT', 'EPS', 'DEF', 'PER', 'NIL']","['PRO: ', 'I', '; ', 'NOT: ', 'never', '; ', 'EPS: ', 'doubted', '; ', 'DEF: ', 'ø', '; ', 'PER: ', 'Tom', '; ', 'NIL: ', '.']"
5105,pmb-4.0.0/data/en/gold/p36/d3541/en.drs.xml,"['He', 'gorged', 'himself', 'on', 'ø', 'ice~cream', '.']","['male', 'gorge', 'male', 'on', 'ø', 'ice~cream', '.']","[0, 3, 10, 18, 21, 21, 30]","[2, 9, 17, 20, -1, 30, 31]","['PRO', 'EPS', 'REF', 'REL', 'DIS', 'CON', 'NIL']","['PRO: ', 'He', '; ', 'EPS: ', 'gorged', '; ', 'REF: ', 'himself', '; ', 'REL: ', 'on', '; ', 'DIS: ', 'ø', '; ', 'CON: ', 'ice~cream', '; ', 'NIL: ', '.']"
10314,pmb-4.0.0/data/en/gold/p96/d1382/en.drs.xml,"['Where', 'is', 'ø', 'Mae~West', 'buried', '?']","['location', 'be', 'ø', 'mae~west', 'bury', '?']","[0, 6, 9, 9, 18, 24]","[5, 8, -1, 17, 24, 25]","['QUE', 'NOW', 'DEF', 'PER', 'EXS', 'QUE']","['QUE: ', 'Where', '; ', 'NOW: ', 'is', '; ', 'DEF: ', 'ø', '; ', 'PER: ', 'Mae~West', '; ', 'EXS: ', 'buried', '; ', 'QUE: ', '?']"
7956,pmb-4.0.0/data/en/gold/p69/d1854/en.drs.xml,"['He', 'wiped', 'his', 'nose', 'on', 'his', 'sleeve', '.']","['male', 'wipe', 'male', 'nose', 'on', 'male', 'sleeve', '.']","[0, 3, 9, 13, 18, 21, 25, 31]","[2, 8, 12, 17, 20, 24, 31, 32]","['PRO', 'EPS', 'HAS', 'CON', 'REL', 'HAS', 'CON', 'NIL']","['PRO: ', 'He', '; ', 'EPS: ', 'wiped', '; ', 'HAS: ', 'his', '; ', 'CON: ', 'nose', '; ', 'REL: ', 'on', '; ', 'HAS: ', 'his', '; ', 'CON: ', 'sleeve', '; ', 'NIL: ', '.']"
